Date,Category,Device,Clicks,Cost,Sales,Order value,Tracked leads,Cost of tracked leads
1/12/2021,Links,Computer,398,179.1,0,0,398,179.1
1/12/2021,Links,Mobile,21,9.45,0,0,21,9.45
1/12/2021,Herrenmode,Computer,3,1.35,0,0,3,1.35
1/12/2021,Herrenmode,Mobile,2,0.675,0,0,2,0.675
1/12/2021,Damenmode,Computer,4,1.8,0,0,4,1.8
1/12/2021,Damenmode,Mobile,5,1.6875,0,0,5,1.6875
1/12/2021,Sonnenbrillen,Computer,1,0.45,0,0,1,0.45
1/12/2021,Sonnenbrillen,Mobile,2,0.675,0,0,2,0.675
1/12/2021,Sportbekleidung Damen,Computer,19,8.55,0,0,19,8.55
1/12/2021,Sportbekleidung Damen,Mobile,6,2.025,0,0,6,2.025
1/12/2021,Sportbekleidung Herren,Computer,131,58.95,0,0,131,58.95
1/12/2021,Sportbekleidung Herren,Mobile,23,7.7625,0,0,23,7.7625
1/12/2021,Taschen,Computer,1,0.45,0,0,1,0.45
1/12/2021,Fahrradteile & Fahrradzubehör,Computer,4,1.8,0,0,4,1.8
1/12/2021,Fahrradteile & Fahrradzubehör,Mobile,4,1.35,0,0,4,1.35
1/12/2021,Sportschuhe Herren,Computer,2,0.9,0,0,2,0.9
1/12/2021,Sportschuhe Herren,Mobile,1,0.3375,0,0,1,0.3375
2/12/2021,Links,Computer,9,4.05,0,0,9,4.05
2/12/2021,Links,Mobile,6,2.7,0,0,6,2.7
2/12/2021,Herrenmode,Computer,3,1.35,0,0,3,1.35
2/12/2021,Herrenmode,Mobile,4,1.35,0,0,4,1.35
2/12/2021,Damenmode,Computer,1,0.45,0,0,1,0.45
2/12/2021,Damenmode,Mobile,3,1.0125,0,0,3,1.0125
2/12/2021,Sportbekleidung Damen,Computer,2,0.9,0,0,2,0.9
2/12/2021,Sportbekleidung Damen,Mobile,1,0.3375,0,0,1,0.3375
2/12/2021,Sportbekleidung Herren,Computer,25,11.25,2,361.35,25,11.25
2/12/2021,Sportbekleidung Herren,Mobile,2,0.675,0,0,2,0.675
2/12/2021,Taschen,Computer,1,0.45,0,0,1,0.45
2/12/2021,Fahrradteile & Fahrradzubehör,Computer,1,0.45,0,0,1,0.45
4/12/2021,Links,Computer,26,11.7,0,0,26,11.7
4/12/2021,Links,Mobile,12,5.4,0,0,12,5.4
4/12/2021,Herrenmode,Computer,7,3.15,0,0,7,3.15
4/12/2021,Herrenmode,Mobile,6,2.025,0,0,6,2.025
4/12/2021,Damenmode,Computer,1,0.45,0,0,1,0.45
4/12/2021,Damenmode,Mobile,2,0.675,0,0,2,0.675
4/12/2021,Sportbekleidung Damen,Computer,14,6.3,0,0,14,6.3
4/12/2021,Sportbekleidung Damen,Mobile,3,1.0125,0,0,3,1.0125
4/12/2021,Sportbekleidung Herren,Computer,196,88.2,0,0,196,88.2
4/12/2021,Sportbekleidung Herren,Mobile,16,5.4,0,0,16,5.4
4/12/2021,Taschen,Computer,1,0.45,0,0,1,0.45
4/12/2021,Fahrradteile & Fahrradzubehör,Computer,4,1.8,0,0,4,1.8
4/12/2021,Sportschuhe Herren,Computer,1,0.45,0,0,1,0.45
5/12/2021,Links,Computer,27,12.15,0,0,27,12.15
5/12/2021,Links,Mobile,2,0.9,0,0,2,0.9
5/12/2021,Herrenmode,Computer,6,2.7,1,168.07,6,2.7
5/12/2021,Herrenmode,Mobile,5,1.6875,0,0,5,1.6875
5/12/2021,Damenmode,Computer,3,1.35,0,0,3,1.35
5/12/2021,Damenmode,Mobile,2,0.675,0,0,2,0.675
5/12/2021,Sportbekleidung Damen,Computer,19,8.55,0,0,19,8.55
5/12/2021,Sportbekleidung Damen,Mobile,6,2.025,0,0,6,2.025
5/12/2021,Sportbekleidung Herren,Computer,347,156.15,2,232.4,347,156.15
5/12/2021,Sportbekleidung Herren,Mobile,12,4.05,0,0,12,4.05
5/12/2021,Fahrradteile & Fahrradzubehör,Computer,6,2.7,0,0,6,2.7
5/12/2021,Sportschuhe Herren,Computer,4,1.8,0,0,4,1.8
5/12/2021,Sportschuhe Herren,Mobile,4,1.35,0,0,4,1.35
7/12/2021,Links,Computer,27,12.15,0,0,27,12.15
7/12/2021,Links,Mobile,2,0.9,0,0,2,0.9
7/12/2021,Herrenmode,Computer,3,1.35,0,0,3,1.35
7/12/2021,Herrenmode,Mobile,1,0.3375,0,0,1,0.3375
7/12/2021,Damenmode,Computer,2,0.9,0,0,2,0.9
7/12/2021,Damenmode,Mobile,3,1.0125,0,0,3,1.0125
7/12/2021,Sonnenbrillen,Mobile,1,0.3375,0,0,1,0.3375
7/12/2021,Sportbekleidung Damen,Computer,12,5.4,0,0,12,5.4
7/12/2021,Sportbekleidung Herren,Computer,138,62.1,0,0,138,62.1
7/12/2021,Sportbekleidung Herren,Mobile,8,2.7,0,0,8,2.7
7/12/2021,Fahrradteile & Fahrradzubehör,Computer,4,1.8,0,0,4,1.8
7/12/2021,Sportschuhe Herren,Computer,1,0.45,0,0,1,0.45
14/12/21,Links,Computer,722,324.9,1,30.71,722,324.9
14/12/21,Links,Mobile,35,15.75,0,0,35,15.75
14/12/21,Herrenmode,Computer,2,0.9,0,0,2,0.9
14/12/21,Damenmode,Computer,2,0.9,0,0,2,0.9
14/12/21,Sonnenbrillen,Computer,2,0.9,0,0,2,0.9
14/12/21,Sportbekleidung Damen,Computer,16,7.2,0,0,16,7.2
14/12/21,Sportbekleidung Damen,Mobile,8,2.7,0,0,8,2.7
14/12/21,Sportbekleidung Herren,Computer,120,54,1,152.94,120,54
14/12/21,Sportbekleidung Herren,Mobile,16,5.4,0,0,16,5.4
14/12/21,Fahrradteile & Fahrradzubehör,Computer,5,2.25,0,0,5,2.25
14/12/21,Sportschuhe Herren,Computer,3,1.35,0,0,3,1.35
16/12/21,Links,Computer,719,323.55,0,0,719,323.55
16/12/21,Links,Mobile,46,20.7,0,0,46,20.7
16/12/21,Herrenmode,Computer,1,0.45,0,0,1,0.45
16/12/21,Damenmode,Computer,7,3.15,1,415.97,7,3.15
16/12/21,Sonnenbrillen,Computer,1,0.45,0,0,1,0.45
16/12/21,Sonnenbrillen,Mobile,1,0.3375,0,0,1,0.3375
16/12/21,Sportbekleidung Damen,Computer,20,9,0,0,20,9
16/12/21,Sportbekleidung Herren,Computer,124,55.8,0,0,124,55.8
16/12/21,Sportbekleidung Herren,Mobile,22,7.425,0,0,22,7.425
16/12/21,Taschen,Computer,1,0.45,0,0,1,0.45
16/12/21,Taschen,Mobile,1,0.3375,0,0,1,0.3375
16/12/21,Fahrradteile & Fahrradzubehör,Computer,3,1.35,0,0,3,1.35
16/12/21,Sportschuhe Herren,Computer,1,0.45,0,0,1,0.45
10/12/2021,Links,Computer,164,73.8,0,0,164,73.8
10/12/2021,Links,Mobile,3,1.35,0,0,3,1.35
10/12/2021,Herrenmode,Computer,2,0.9,0,0,2,0.9
10/12/2021,Herrenmode,Mobile,2,0.675,0,0,2,0.675
10/12/2021,Damenmode,Computer,8,3.6,0,0,8,3.6
10/12/2021,Damenmode,Mobile,4,1.35,0,0,4,1.35
10/12/2021,Sportbekleidung Damen,Computer,12,5.4,1,205.88,12,5.4
10/12/2021,Sportbekleidung Damen,Mobile,1,0.3375,0,0,1,0.3375
10/12/2021,Sportbekleidung Herren,Computer,124,55.8,0,0,124,55.8
10/12/2021,Sportbekleidung Herren,Mobile,19,6.4125,0,0,19,6.4125
10/12/2021,Fahrradteile & Fahrradzubehör,Computer,3,1.35,0,0,3,1.35
10/12/2021,Fahrradteile & Fahrradzubehör,Mobile,1,0.3375,0,0,1,0.3375
10/12/2021,Sportschuhe Herren,Computer,2,0.9,0,0,2,0.9
11/12/2021,Links,Computer,329,148.05,0,0,329,148.05
11/12/2021,Links,Mobile,21,9.45,0,0,21,9.45
11/12/2021,Herrenmode,Computer,3,1.35,0,0,3,1.35
11/12/2021,Damenmode,Computer,5,2.25,0,0,5,2.25
11/12/2021,Damenmode,Mobile,1,0.3375,0,0,1,0.3375
11/12/2021,Sportbekleidung Damen,Computer,14,6.3,0,0,14,6.3
11/12/2021,Sportbekleidung Herren,Computer,124,55.8,1,126.05,124,55.8
11/12/2021,Sportbekleidung Herren,Mobile,10,3.375,0,0,10,3.375
