sep=,
Date,Category,Device,Clicks,Cost,Sales,"Order value","Tracked leads","Cost of tracked leads"
01/12/21,Links,Computer,398,179.09999999999928,0,0.0,398,179.09999999999928
01/12/21,Links,Mobile,21,9.45,0,0.0,21,9.45
01/12/21,Herrenmode,Computer,3,1.35,0,0.0,3,1.35
01/12/21,Herrenmode,Mobile,2,0.675,0,0.0,2,0.675
01/12/21,Damenmode,Computer,4,1.8,0,0.0,4,1.8
01/12/21,Damenmode,Mobile,5,1.6875,0,0.0,5,1.6875
01/12/21,Sonnenbrillen,Computer,1,0.45,0,0.0,1,0.45
01/12/21,Sonnenbrillen,Mobile,2,0.675,0,0.0,2,0.675
01/12/21,"Sportbekleidung Damen",Computer,19,8.55,0,0.0,19,8.55
01/12/21,"Sportbekleidung Damen",Mobile,6,2.025,0,0.0,6,2.025
01/12/21,"Sportbekleidung Herren",Computer,131,58.95000000000004,0,0.0,131,58.95000000000004
01/12/21,"Sportbekleidung Herren",Mobile,23,7.762500000000003,0,0.0,23,7.762500000000003
01/12/21,Taschen,Computer,1,0.45,0,0.0,1,0.45
01/12/21,"Fahrradteile & Fahrradzubehör",Computer,4,1.8,0,0.0,4,1.8
01/12/21,"Fahrradteile & Fahrradzubehör",Mobile,4,1.35,0,0.0,4,1.35
01/12/21,"Sportschuhe Herren",Computer,2,0.9,0,0.0,2,0.9
01/12/21,"Sportschuhe Herren",Mobile,1,0.3375,0,0.0,1,0.3375
02/12/21,Links,Computer,9,4.050000000000001,0,0.0,9,4.050000000000001
02/12/21,Links,Mobile,6,2.7,0,0.0,6,2.7
02/12/21,Herrenmode,Computer,3,1.35,0,0.0,3,1.35
02/12/21,Herrenmode,Mobile,4,1.35,0,0.0,4,1.35
02/12/21,Damenmode,Computer,1,0.45,0,0.0,1,0.45
02/12/21,Damenmode,Mobile,3,1.0125000000000002,0,0.0,3,1.0125000000000002
02/12/21,"Sportbekleidung Damen",Computer,2,0.9,0,0.0,2,0.9
02/12/21,"Sportbekleidung Damen",Mobile,1,0.3375,0,0.0,1,0.3375
02/12/21,"Sportbekleidung Herren",Computer,25,11.249999999999998,2,361.35,25,11.249999999999998
02/12/21,"Sportbekleidung Herren",Mobile,2,0.675,0,0.0,2,0.675
02/12/21,Taschen,Computer,1,0.45,0,0.0,1,0.45
02/12/21,"Fahrradteile & Fahrradzubehör",Computer,1,0.45,0,0.0,1,0.45
04/12/21,Links,Computer,26,11.699999999999996,0,0.0,26,11.699999999999996
04/12/21,Links,Mobile,12,5.400000000000001,0,0.0,12,5.400000000000001
04/12/21,Herrenmode,Computer,7,3.1500000000000004,0,0.0,7,3.1500000000000004
04/12/21,Herrenmode,Mobile,6,2.025,0,0.0,6,2.025
04/12/21,Damenmode,Computer,1,0.45,0,0.0,1,0.45
04/12/21,Damenmode,Mobile,2,0.675,0,0.0,2,0.675
04/12/21,"Sportbekleidung Damen",Computer,14,6.300000000000001,0,0.0,14,6.300000000000001
04/12/21,"Sportbekleidung Damen",Mobile,3,1.0125000000000002,0,0.0,3,1.0125000000000002
04/12/21,"Sportbekleidung Herren",Computer,196,88.20000000000003,0,0.0,196,88.20000000000003
04/12/21,"Sportbekleidung Herren",Mobile,16,5.4,0,0.0,16,5.4
04/12/21,Taschen,Computer,1,0.45,0,0.0,1,0.45
04/12/21,"Fahrradteile & Fahrradzubehör",Computer,4,1.8,0,0.0,4,1.8
04/12/21,"Sportschuhe Herren",Computer,1,0.45,0,0.0,1,0.45
05/12/21,Links,Computer,27,12.149999999999995,0,0.0,27,12.149999999999995
05/12/21,Links,Mobile,2,0.9,0,0.0,2,0.9
05/12/21,Herrenmode,Computer,6,2.7,1,168.07,6,2.7
05/12/21,Herrenmode,Mobile,5,1.6875000000000002,0,0.0,5,1.6875000000000002
05/12/21,Damenmode,Computer,3,1.35,0,0.0,3,1.35
05/12/21,Damenmode,Mobile,2,0.675,0,0.0,2,0.675
05/12/21,"Sportbekleidung Damen",Computer,19,8.55,0,0.0,19,8.55
05/12/21,"Sportbekleidung Damen",Mobile,6,2.025,0,0.0,6,2.025
