Product Category (Enhanced E-commerce),Transaction ID,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Basket-to-Detail Rate,Buy-to-Detail Rate
Herren/Schuhe/Schnürer,DE01361598,3959.2,16,16,247.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337076,2999.25,15,15,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349187,1959.6,8,8,244.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01343086,1919.6,8,8,239.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368121,1919.6,8,8,239.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01339054,1879.4,8,8,234.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01364165,1559.7,6,6,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361277,1529.7,6,6,254.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01359308,1509.65,6,6,251.61,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341991,1499.7,6,6,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350428,1499.7,6,6,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01336539,1499.6,6,6,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342936,1499.55,6,6,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351249,1499.4,6,6,249.9,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01363673,1499.4,6,6,249.9,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01359279,1459.7,6,6,243.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01364716,1459.7,6,6,243.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01369293,1449.7,6,6,241.62,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344842,1429.7,6,6,238.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350216,1429.7,6,6,238.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368364,1399.7,6,6,233.28,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01336148,1309.75,5,5,261.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351226,1289.75,5,5,257.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01363358,1279.75,5,5,255.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342885,1279.65,5,5,255.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360575,1269.75,5,5,253.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01334799,1249.75,5,5,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01353276,1249.75,5,5,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01352311,1249.65,5,5,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342233,1229.75,5,5,245.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349096,1229.75,5,5,245.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349100,1229.75,5,5,245.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01354275,1229.7,5,5,245.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01355037,1219.75,5,5,243.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342876,1219.7,5,5,243.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346092,1219.7,5,5,243.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01349763,1209.75,5,5,241.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367553,1209.75,5,5,241.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368271,1209.75,5,5,241.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365814,1199.75,5,5,239.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367131,1199.75,5,5,239.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367485,1199.75,5,5,239.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01339087,1199.7,6,6,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344054,1199.7,6,6,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350087,1199.7,5,5,239.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342117,1189.75,5,5,237.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01343256,1189.75,5,5,237.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340567,1169.75,5,5,233.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368234,1169.75,5,5,233.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341742,1159.75,5,5,231.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01368536,1159.75,5,5,231.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347189,1149.75,5,5,229.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01348298,1119.75,5,5,223.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350201,1119.75,5,5,223.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01357408,1079.8,4,4,269.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366367,1079.8,4,4,269.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366173,1059.8,4,4,264.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01354451,1059.75,4,4,264.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337263,1059.7,4,4,264.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01338391,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341349,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342257,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344050,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344758,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01360880,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01361134,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367421,1039.8,4,4,259.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337424,1039.7,4,4,259.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340218,1039.7,4,4,259.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01358499,1039.7,4,4,259.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344408,1029.7,5,5,205.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01337489,1019.8,4,4,254.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01339045,1019.8,4,4,254.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350810,1019.8,4,4,254.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01350835,1019.8,4,4,254.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01363884,1019.8,4,4,254.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367467,1019.8,4,4,254.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01345564,1009.8,4,4,252.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01353606,1009.8,4,4,252.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01355166,1009.8,4,4,252.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366580,1009.8,4,4,252.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367055,1009.8,4,4,252.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351088,1009.75,4,4,252.44,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01355978,1009.75,4,4,252.44,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01359960,1009.7,4,4,252.43,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340150,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344716,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346148,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346285,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347385,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01348519,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01355631,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01365886,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01366779,999.8,4,4,249.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01340001,999.75,5,5,199.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01347904,999.75,4,4,249.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01367909,999.75,4,4,249.94,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346391,999.7,4,4,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01346539,999.7,4,4,249.93,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344645,989.8,4,4,247.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01362101,989.8,4,4,247.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01364041,989.8,4,4,247.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01364171,989.8,4,4,247.45,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01348469,989.75,4,4,247.44,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01354865,989.75,4,4,247.44,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01358478,989.75,4,4,247.44,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01341061,979.8,4,4,244.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01342078,979.8,4,4,244.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344094,979.8,4,4,244.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01344849,979.8,4,4,244.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01351483,979.8,4,4,244.95,1,0,0.00%,0.00%
Herren/Schuhe/Schnürer,DE01364529,979.8,4,4,244.95,1,0,0.00%,0.00%
